SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Province/State_was_missing,ObservationDate_year,ObservationDate_month,ObservationDate_day,ObservationDate_day_of_week,Last Update_year,Last Update_month,Last Update_day,Last Update_day_of_week,Province/State_length,Province/State_word_count,Country/Region_length,Country/Region_word_count,SNo_binned,Confirmed_binned,Deaths_binned,Recovered_binned,ObservationDate_day_binned,Last Update_day_binned,Province/State_was_missing_encoded,ObservationDate_year_encoded,ObservationDate_month_encoded,ObservationDate_day_of_week_encoded,Last Update_year_encoded,Last Update_month_encoded,Last Update_day_of_week_encoded
1,2020-01-22,Anhui,Mainland China,2020-01-22 17:00:00,1.0,0.0,0.0,False,2020,1,22,2,2020,1,22,2,5,1,14,2,0,0,0,0,3,3,0,0,0,0,0,0,0
2,2020-01-22,Beijing,Mainland China,2020-01-22 17:00:00,14.0,0.0,0.0,False,2020,1,22,2,2020,1,22,2,7,1,14,2,0,0,0,0,3,3,0,0,0,0,0,0,0
3,2020-01-22,Chongqing,Mainland China,2020-01-22 17:00:00,6.0,0.0,0.0,False,2020,1,22,2,2020,1,22,2,9,1,14,2,0,0,0,0,3,3,0,0,0,0,0,0,0
4,2020-01-22,Fujian,Mainland China,2020-01-22 17:00:00,1.0,0.0,0.0,False,2020,1,22,2,2020,1,22,2,6,1,14,2,0,0,0,0,3,3,0,0,0,0,0,0,0
5,2020-01-22,Gansu,Mainland China,2020-01-22 17:00:00,0.0,0.0,0.0,False,2020,1,22,2,2020,1,22,2,5,1,14,2,0,0,0,0,3,3,0,0,0,0,0,0,0
6,2020-01-22,Guangdong,Mainland China,2020-01-22 17:00:00,26.0,0.0,0.0,False,2020,1,22,2,2020,1,22,2,9,1,14,2,0,0,0,0,3,3,0,0,0,0,0,0,0
7,2020-01-22,Guangxi,Mainland China,2020-01-22 17:00:00,2.0,0.0,0.0,False,2020,1,22,2,2020,1,22,2,7,1,14,2,0,0,0,0,3,3,0,0,0,0,0,0,0
8,2020-01-22,Guizhou,Mainland China,2020-01-22 17:00:00,1.0,0.0,0.0,False,2020,1,22,2,2020,1,22,2,7,1,14,2,0,0,0,0,3,3,0,0,0,0,0,0,0
9,2020-01-22,Hainan,Mainland China,2020-01-22 17:00:00,4.0,0.0,0.0,False,2020,1,22,2,2020,1,22,2,6,1,14,2,0,0,0,0,3,3,0,0,0,0,0,0,0
10,2020-01-22,Hebei,Mainland China,2020-01-22 17:00:00,1.0,0.0,0.0,False,2020,1,22,2,2020,1,22,2,5,1,14,2,0,0,0,0,3,3,0,0,0,0,0,0,0
11,2020-01-22,Heilongjiang,Mainland China,2020-01-22 17:00:00,0.0,0.0,0.0,False,2020,1,22,2,2020,1,22,2,12,1,14,2,0,0,0,0,3,3,0,0,0,0,0,0,0
12,2020-01-22,Henan,Mainland China,2020-01-22 17:00:00,5.0,0.0,0.0,False,2020,1,22,2,2020,1,22,2,5,1,14,2,0,0,0,0,3,3,0,0,0,0,0,0,0
13,2020-01-22,Hong Kong,Hong Kong,2020-01-22 17:00:00,0.0,0.0,0.0,False,2020,1,22,2,2020,1,22,2,9,2,9,2,0,0,0,0,3,3,0,0,0,0,0,0,0
14,2020-01-22,Hubei,Mainland China,2020-01-22 17:00:00,444.0,17.0,28.0,False,2020,1,22,2,2020,1,22,2,5,1,14,2,0,0,0,0,3,3,0,0,0,0,0,0,0
15,2020-01-22,Hunan,Mainland China,2020-01-22 17:00:00,4.0,0.0,0.0,False,2020,1,22,2,2020,1,22,2,5,1,14,2,0,0,0,0,3,3,0,0,0,0,0,0,0
16,2020-01-22,Inner Mongolia,Mainland China,2020-01-22 17:00:00,0.0,0.0,0.0,False,2020,1,22,2,2020,1,22,2,14,2,14,2,0,0,0,0,3,3,0,0,0,0,0,0,0
17,2020-01-22,Jiangsu,Mainland China,2020-01-22 17:00:00,1.0,0.0,0.0,False,2020,1,22,2,2020,1,22,2,7,1,14,2,0,0,0,0,3,3,0,0,0,0,0,0,0
18,2020-01-22,Jiangxi,Mainland China,2020-01-22 17:00:00,2.0,0.0,0.0,False,2020,1,22,2,2020,1,22,2,7,1,14,2,0,0,0,0,3,3,0,0,0,0,0,0,0
